Epochs,Optimizer,Activation_Function,Train_Loss,Train_Accuracy,Train_Precision,Train_Recall,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
2,Adam,relu,0.2733924090862274,0.9198412895202637,0.2303353250026703,0.9981746077537537,1.866248607635498,0.557962954044342,0.27150392532348633,0.9340741038322449
7,Adagrad,relu,1.4847015142440796,0.4883333444595337,0.18546773493289948,0.8972222208976746,0.7369036078453064,0.7744444608688354,0.22889652848243713,0.9872221946716309
7,Adadelta,relu,2.9316062927246094,0.14341269433498383,0.11519623547792435,0.5786507725715637,2.025817632675171,0.232962965965271,0.1510799080133438,0.7850000262260437
3,Adadelta,relu,3.082489490509033,0.11317460238933563,0.10679550468921661,0.5359523892402649,2.1655454635620117,0.1935185194015503,0.1465594321489334,0.7288888692855835
8,Adagrad,relu,1.3356099128723145,0.539126992225647,0.1914556920528412,0.9219047427177429,0.6296863555908203,0.8299999833106995,0.22363856434822083,0.9909259080886841
7,Adam,relu,0.07203961908817291,0.9808729887008667,0.25537481904029846,0.9992856979370117,0.0037783996667712927,0.9994444251060486,0.3261263370513916,1.0
4,RMSprop,relu,0.09706878662109375,0.9736508131027222,0.26040998101234436,0.9991269707679749,0.01158146746456623,0.9968518614768982,0.3821656107902527,1.0
10,Adadelta,relu,2.875941038131714,0.1500793695449829,0.11899790912866592,0.5971428751945496,1.9571959972381592,0.25777778029441833,0.1600191742181778,0.8655555844306946
8,Adam,relu,0.058261025696992874,0.9853968024253845,0.2585286796092987,0.9996031522750854,0.005191056989133358,0.9985185265541077,0.34451958537101746,1.0
1,Adadelta,relu,3.2065114974975586,0.10444444417953491,0.1004071831703186,0.5049206614494324,2.302953004837036,0.09759259223937988,0.11187821626663208,0.6001851558685303
2,Adagrad,relu,2.465102195739746,0.21587301790714264,0.13765019178390503,0.6800793409347534,1.5713179111480713,0.4409259259700775,0.19880084693431854,0.8227777481079102
9,RMSprop,relu,0.04244731739163399,0.9899206161499023,0.27977606654167175,0.9994444251060486,0.04921906813979149,0.9885185360908508,0.4096047282218933,0.9998148083686829
8,Adadelta,relu,2.889598846435547,0.14825396239757538,0.11741980165243149,0.5885714292526245,1.9906030893325806,0.24037036299705505,0.15982086956501007,0.8459259271621704
5,RMSprop,relu,0.08310206979513168,0.9777777791023254,0.26306986808776855,0.9988095164299011,0.7233045101165771,0.8274074196815491,0.26047050952911377,0.9985185265541077
6,Adadelta,relu,2.984997034072876,0.13087300956249237,0.11294540017843246,0.5690476298332214,2.040804147720337,0.24611110985279083,0.1555817723274231,0.8057407140731812
8,RMSprop,relu,0.043163057416677475,0.9888095259666443,0.2767767012119293,0.9996031522750854,0.010473323985934258,0.996666669845581,0.3685252070426941,1.0
3,Adagrad,relu,2.2048394680023193,0.27492064237594604,0.1518525779247284,0.743571400642395,1.34834623336792,0.5598148107528687,0.20054739713668823,0.8955555558204651
5,Adagrad,relu,1.80861496925354,0.38476189970970154,0.17178313434123993,0.8371428847312927,1.000062108039856,0.6827777624130249,0.21227653324604034,0.9587036967277527
4,Adagrad,relu,2.008038282394409,0.32777777314186096,0.1633913666009903,0.7977777719497681,1.179223895072937,0.6261110901832581,0.21649307012557983,0.9314814805984497
4,Adadelta,relu,3.0287702083587646,0.12738095223903656,0.10892589390277863,0.547698438167572,2.117741107940674,0.22740741074085236,0.1522817313671112,0.7335185408592224
10,Adam,relu,0.05480169132351875,0.9868254065513611,0.2633042633533478,0.9993650913238525,0.008784600533545017,0.9979629516601562,0.3440147936344147,1.0
4,Adam,relu,0.10573562979698181,0.9710317254066467,0.24354436993598938,0.9992856979370117,0.011887209489941597,0.996666669845581,0.2651478052139282,1.0
1,RMSprop,relu,1.231164813041687,0.5880158543586731,0.1984245926141739,0.9036508202552795,0.9388064742088318,0.6462963223457336,0.22845429182052612,0.9700000286102295
9,Adam,relu,0.04149026423692703,0.9885714054107666,0.2631216049194336,0.9998412728309631,0.0030030610505491495,0.9994444251060486,0.3445855379104614,1.0
1,Adam,relu,1.4296730756759644,0.5226984024047852,0.18671518564224243,0.8756349086761475,0.5785754919052124,0.7903703451156616,0.24745981395244598,0.992222249507904
5,Adam,relu,0.07620557397603989,0.979285717010498,0.24878020584583282,0.9995238184928894,0.36450597643852234,0.8787037134170532,0.2703014016151428,0.9998148083686829
1,Adagrad,relu,2.9073102474212646,0.1415873020887375,0.11560352891683578,0.5754761695861816,2.121154308319092,0.18222221732139587,0.15619786083698273,0.5894444584846497
7,RMSprop,relu,0.052411872893571854,0.9865079522132874,0.2729262411594391,0.9996031522750854,0.011887562461197376,0.9959259033203125,0.38436898589134216,1.0
2,Adadelta,relu,3.1190414428710938,0.115079365670681,0.10469678044319153,0.5273809432983398,2.288196563720703,0.14000000059604645,0.13262377679347992,0.676111102104187
3,Adam,relu,0.13384480774402618,0.9632539749145508,0.2389417439699173,0.9984920620918274,0.47623205184936523,0.8701851963996887,0.28269070386886597,0.9992592334747314
5,Adadelta,relu,2.9938158988952637,0.13007935881614685,0.11207086592912674,0.5642856955528259,2.088674783706665,0.20462962985038757,0.14860057830810547,0.765925943851471
9,Adadelta,relu,2.8809783458709717,0.15261904895305634,0.1171405017375946,0.5873016119003296,1.9769647121429443,0.24037036299705505,0.15980499982833862,0.8316666483879089
6,Adam,relu,0.07820113003253937,0.9797618985176086,0.25121718645095825,0.9992063641548157,6.961917400360107,0.20648148655891418,0.19136425852775574,0.771481454372406
